term_id,term_str,n,num,stop,p_stem
0,,10909,0,0,
1,01,1,1,0,01
2,1,34,1,0,1
3,10,19,1,0,10
4,100,11,1,0,100
5,1000,8,1,0,1000
6,10000,4,1,0,10000
7,100000,4,1,0,100000
8,1000000,1,1,0,1000000
9,10000000,5,1,0,10000000
10,100000000,2,1,0,100000000
11,1001463,1,1,0,1001463
12,1009,1,1,0,1009
13,101,4,1,0,101
14,102,5,1,0,102
15,103,3,1,0,103
16,104,3,1,0,104
17,105,3,1,0,105
18,1050,1,1,0,1050
19,106,3,1,0,106
20,107,3,1,0,107
21,108,4,1,0,108
22,109,4,1,0,109
23,10th,5,1,0,10th
24,11,11,1,0,11
25,110,1,1,0,110
26,1100,1,1,0,1100
27,110th,2,1,0,110th
28,111,1,1,0,111
29,11165,1,1,0,11165
30,112,2,1,0,112
31,113,1,1,0,113
32,1132060,1,1,0,1132060
33,114,1,1,0,114
34,115,2,1,0,115
35,1150,2,1,0,1150
36,1160000,1,1,0,1160000
37,117,2,1,0,117
38,118,1,1,0,118
39,119,1,1,0,119
40,1199152,1,1,0,1199152
41,11th,1,1,0,11th
42,12,9,1,0,12
43,1200,3,1,0,1200
44,12000,2,1,0,12000
45,12000000,7,1,0,12000000
46,120738,1,1,0,120738
47,121,1,1,0,121
48,121000000,1,1,0,121000000
49,1215,1,1,0,1215
50,121878,1,1,0,121878
51,1221,1,1,0,1221
52,1235,1,1,0,1235
53,125,4,1,0,125
54,1250000,1,1,0,1250000
55,128,2,1,0,128
56,1283029,1,1,0,1283029
57,12832,1,1,0,12832
58,129,1,1,0,129
59,12th,2,1,0,12th
60,13,5,1,0,13
61,130,1,1,0,130
62,130000,1,1,0,130000
63,132,2,1,0,132
64,1324,1,1,0,1324
65,1326,1,1,0,1326
66,1330,1,1,0,1330
67,133245,1,1,0,133245
68,1335,1,1,0,1335
69,1339,1,1,0,1339
70,134102,1,1,0,134102
71,1355,1,1,0,1355
72,135th,1,1,0,135th
73,136,2,1,0,136
74,1367,1,1,0,1367
75,137,1,1,0,137
76,1375,1,1,0,1375
77,14,6,1,0,14
78,1400,1,1,0,1400
79,14000,1,1,0,14000
80,140000,1,1,0,140000
81,142,1,1,0,142
82,1420,1,1,0,1420
83,1423607871,1,1,0,1423607871
84,143,1,1,0,143
85,14387,1,1,0,14387
86,1441,1,1,0,1441
87,1450,1,1,0,1450
88,1455,1,1,0,1455
89,1464,1,1,0,1464
90,1469,1,1,0,1469
91,1474,2,1,0,1474
92,1482,2,1,0,1482
93,1485,1,1,0,1485
94,1492,1,1,0,1492
95,1493,1,1,0,1493
96,1495,1,1,0,1495
97,1497,2,1,0,1497
98,14th,2,1,0,14th
99,15,17,1,0,15
100,150,12,1,0,150
101,1500,3,1,0,1500
102,15000,1,1,0,15000
103,150000,2,1,0,150000
104,15000000,2,1,0,15000000
105,150000000,2,1,0,150000000
106,150000142,1,1,0,150000142
107,1501,3,1,0,1501
108,1502,1,1,0,1502
109,1505,2,1,0,1505
110,1510,1,1,0,1510
111,1513,1,1,0,1513
112,1517,1,1,0,1517
113,152,2,1,0,152
114,1520,1,1,0,1520
115,1522,1,1,0,1522
116,1523,1,1,0,1523
117,1526000,1,1,0,1526000
118,1527,1,1,0,1527
119,1528,1,1,0,1528
120,152873,1,1,0,152873
121,1530,1,1,0,1530
122,1540,1,1,0,1540
123,1545,1,1,0,1545
124,1555,1,1,0,1555
125,1562,1,1,0,1562
126,157,1,1,0,157
127,1570,2,1,0,1570
128,1579,1,1,0,1579
129,158,2,1,0,158
130,159,1,1,0,159
131,1590,1,1,0,1590
132,1591,2,1,0,1591
133,1595,1,1,0,1595
134,15996,1,1,0,15996
135,15th,7,1,0,15th
136,16,12,1,0,16
137,160,2,1,0,160
138,1600,2,1,0,1600
139,1600000,1,1,0,1600000
140,16000000,1,1,0,16000000
141,1602,1,1,0,1602
142,1612,1,1,0,1612
143,1616,1,1,0,1616
144,1619,8,1,0,1619
145,162,1,1,0,162
